JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2423611.287,7.85,,,Vis.,ZGB,,NA,,NA,"""V4B,AVB""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423611.334,7.85,,,Vis.,ZGB,,NA,,NA,"""V4B,AVB""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423612.239,7.78,,,Vis.,ZGB,,NA,,NA,"""A3V7B,A4V""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423612.265,7.85,,,Vis.,ZGB,,NA,,NA,"""A6V4B,V4B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423612.314,7.88,,,Vis.,ZGB,,NA,,NA,"""V2-3B,A8V2B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423613.284,7.84,,,Vis.,ZGB,,NA,,NA,"""V5B,A6V4B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423613.339,7.84,,,Vis.,ZGB,,NA,,NA,"""V5B,A6V4B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423614.199,8.01,,,Vis.,ZGB,,NA,,NA,"""B4-V,B1V9G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423614.268,7.83,,,Vis.,ZGB,,NA,,NA,AVB,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423615.193,7.83,,,Vis.,ZGB,,NA,,NA,A6V4B,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423615.254,7.84,,,Vis.,ZGB,,NA,,NA,"""A6V4B,V4-5B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423617.198,8.02,,,Vis.,ZGB,,NA,,NA,"""B2-3V,B2V8G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423617.273,7.84,,,Vis.,ZGB,,NA,,NA,"""V5B,A6V4B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423618.204,7.95,,,Vis.,ZGB,,NA,,NA,VB,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423618.241,7.85,,,Vis.,ZGB,,NA,,NA,"""V4B,A6V4B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423619.260,7.78,,,Vis.,ZGB,,NA,,NA,"""3-4V7-6B,A3V""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423619.343,7.83,,,Vis.,ZGB,,NA,,NA,AVB,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423621.283,7.88,,,Vis.,ZGB,,NA,,NA,"""A8V2B,V2-3B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423622.309,8.02,,,Vis.,ZGB,,NA,,NA,"""B3V,B2V8G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423632.177,8.13,,,Vis.,ZGB,,NA,,NA,"""BVG,V6G,B4V""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423633.174,8.07,,,Vis.,ZGB,,NA,,NA,"""B4V,B4V6G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423633.209,8.06,,,Vis.,ZGB,,NA,,NA,"""B4-5V,B3V7G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423634.268,8.04,,,Vis.,ZGB,,NA,,NA,"""B5V,B2V8G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423635.171,8.01,,,Vis.,ZGB,,NA,,NA,"""B3V,B1-2V9-8G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423635.212,8.08,,,Vis.,ZGB,,NA,,NA,"""B5V,B4V6G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423636.170,7.94,,,Vis.,ZGB,,NA,,NA,V1-0B,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423637.186,8.02,,,Vis.,ZGB,,NA,,NA,"""B3V,B2V8G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423637.322,8.02,,,Vis.,ZGB,,NA,,NA,"""B3V,B2V8G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423638.181,7.98,,,Vis.,ZGB,,NA,,NA,"""B1V,B1V9G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
